symbol,signal_date,score,pre20_return_pct,pre10_return_pct,pre5_return_pct,drawdown_from_20d_high_pct,close_vs_20d_high_pct,amount,amount_anomaly_20d,signal_return_1d_pct,active_buy_strength,support_pressure_spread,pre20_super_net_ratio,pre20_main_net_ratio,pre10_super_net_ratio,pre10_main_net_ratio,pre20_super_positive_day_ratio,pre20_main_positive_day_ratio,pre5_order_available_ratio,trend_score,fund_score,repair_score,liquidity_score,rank,strategy_name,observe_date,entry_signal_date,buy_point_reason,confirm_date,confirm_return_1d_pct,confirm_amount_anomaly_20d,confirm_super_net_ratio,confirm_main_net_ratio,confirm_super3_ratio,confirm_main3_ratio,confirm_support_pressure_spread,confirm_active_buy_strength,confirm_close_vs_20d_high_pct,confirm_pullback_from_observe_peak_pct,confirm_cancel_buy_ratio,confirm_add_sell_ratio,prior3_amount_anomaly_avg,buy_point_type
sz000582,2026-03-02,69.14,17.03,17.51,9.08,-17.0,-1.65,1185440012.2199998,1.8574635305468485,-0.613496932515345,6.215251430734256,-0.04323920255062852,0.01985,0.00725,0.0326,0.0417,0.6,0.45,0.0,61.82,89.33,39.22,95.25,8,趋势中继原型,2026-03-02,2026-03-04,回踩均线承接,2026-03-04,0.64,0.879,0.00299,0.03776,0.01345,0.06576,-0.05882,3.77578,-5.15,-8.4,0.00108,1.45714,1.694,回踩均线承接
sz002531,2026-03-02,64.86,37.5,8.0,5.86,-14.98,-6.45,462346653.7900001,0.8167778087405514,-2.4703557312252933,-9.2114910470065,0.007289176427198063,0.05222,0.04367,0.06067,0.04733,0.75,0.65,0.0,71.31,100.0,25.37,21.22,16,趋势中继原型,2026-03-02,2026-03-04,回踩均线承接,2026-03-04,0.48,0.839,0.06154,0.07783,0.1327,0.12271,-0.11933,7.78285,-3.45,-9.12,0.00016,1.59197,1.131,回踩均线承接
sz002597,2026-03-02,63.33,25.59,18.79,2.79,-19.43,-5.85,438749386.9600001,0.9090077146891429,-2.824858757062154,-1.0857545290278168,0.07133651964020538,0.04474,0.03126,0.04911,0.04059,0.7,0.55,0.0,66.74,100.0,24.2,22.57,20,趋势中继原型,2026-03-02,2026-03-06,回踩均线承接,2026-03-06,3.85,0.734,0.00296,0.02849,-0.07715,-0.06293,-0.0807,2.84887,-8.66,-10.25,0.00549,1.58911,0.705,回踩均线承接
sz002357,2026-03-05,64.84,31.26,10.54,2.43,-14.27,-2.72,489160819.99999994,1.6558359991520004,0.31172069825435855,6.0908340941942285,0.06405425624644234,-1e-05,0.03466,-0.00208,0.01813,0.4,0.65,0.6,72.54,64.78,61.15,51.15,10,趋势中继原型,2026-03-05,2026-03-06,回踩均线承接,2026-03-06,0.5,0.772,0.01894,0.062,0.40768,0.44147,-0.15386,6.19986,-2.24,-5.83,0.00016,1.54684,1.314,回踩均线承接
sz000767,2026-03-05,62.97,19.54,-0.28,-0.55,-14.81,-0.52,1205324859.02,1.5017713086441067,6.094182825484773,4.183492642058198,-0.08202230373011776,0.03201,0.02172,0.0357,0.01097,0.5,0.45,0.6,49.16,71.24,59.81,83.39,13,趋势中继原型,2026-03-05,2026-03-11,回踩均线承接,2026-03-11,2.36,0.963,0.04064,0.02983,-0.02858,-0.08159,0.01959,2.98292,-3.7,-10.12,0.00014,1.52752,0.938,回踩均线承接
sz002028,2026-03-05,61.8,20.98,2.93,-1.07,-11.92,-0.51,2752156584.84,1.312518517559297,2.583485259460172,10.439900808431076,-0.11086939452165612,-0.0004,0.02491,-0.00594,0.03601,0.45,0.7,0.6,53.88,69.03,55.07,77.08,16,趋势中继原型,2026-03-05,2026-03-06,回踩均线承接,2026-03-06,1.22,1.137,0.06239,0.10028,0.0994,0.32124,-0.06483,10.02837,-1.17,-6.0,0.00074,1.49713,1.218,回踩均线承接
sz002937,2026-03-05,59.79,12.74,3.3,1.68,-12.25,0.33,314862747.65000004,1.2566375194372406,3.566066066066065,-2.0902073360916376,-0.0373607758548693,0.01572,0.01299,0.04385,0.03732,0.65,0.5,0.6,43.61,95.71,42.79,25.09,19,趋势中继原型,2026-03-05,2026-03-06,回踩均线承接,2026-03-06,3.48,0.967,0.0276,0.09437,0.06215,0.06366,0.06932,9.43652,0.25,-6.44,0.00021,1.52156,1.005,回踩均线承接
sz002606,2026-03-06,64.65,30.48,20.59,6.3,-18.71,-0.85,1110526687.72,1.8047161370063447,-0.4285714285714337,-6.065367651658185,-0.06361968134692275,0.03162,0.02336,0.04498,0.02998,0.4,0.5,0.8,81.33,78.46,13.74,93.49,13,趋势中继原型,2026-03-06,2026-03-10,回踩均线承接,2026-03-10,0.78,1.135,0.00378,0.00631,-0.02558,-0.1254,-0.01007,0.63101,-1.73,-8.67,0.00116,1.33455,1.853,回踩均线承接
sz002730,2026-03-10,78.58,20.79,15.14,10.43,-14.55,3.91,1104549423.99,4.075286063688939,3.9123630672926346,4.827088527863179,-0.007430190339834386,0.03548,0.05284,0.03873,0.06486,0.55,0.65,1.0,64.53,95.71,62.88,100.0,2,趋势中继原型,2026-03-10,2026-03-13,回踩均线承接,2026-03-13,-1.29,1.136,-0.00518,0.01457,-0.02371,-0.00419,-0.07211,1.45724,-5.42,-8.82,9e-05,1.50534,2.693,回踩均线承接
sz002655,2026-03-10,64.88,35.93,9.29,2.37,-18.27,-5.47,468789898.9,0.7628757478736112,0.8675534991324563,8.760287731532433,0.10646388481729296,0.03311,0.04284,0.02433,0.03009,0.45,0.45,1.0,72.26,76.92,56.65,21.13,14,趋势中继原型,2026-03-10,2026-03-20,回踩均线承接,2026-03-20,-2.49,0.767,0.02474,0.06265,0.03131,0.19697,-0.02806,6.26505,-6.67,-11.67,0.00028,1.38249,0.79,回踩均线承接
sz000967,2026-03-11,70.1,21.05,9.86,9.05,-14.01,7.23,1109645772.22,3.498922199287783,7.840909090909087,2.550932501943322,0.5291940987484585,0.00134,0.02355,-0.00394,0.04192,0.55,0.6,1.0,60.15,61.98,81.45,100.0,9,趋势中继原型,2026-03-11,2026-03-16,回踩均线承接,2026-03-16,-1.67,1.08,0.03536,0.01283,-0.18174,-0.18794,-0.04526,1.28282,-8.76,-10.0,6e-05,1.41554,2.274,回踩均线承接
